"职业","卡名","类型","效果"
"骑士","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"骑士","筹谋","行动牌","抽张牌，本回合下次卡牌的伤害翻倍"
"骑士","刺伤","攻击牌","移除造成12点穿刺伤害"
"骑士","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"骑士","短兵相接","行动牌","移除装备1把短剑和1个圆盾"
"骑士","短剑","装备牌","每使用2张攻击牌造成1点伤害"
"骑士","盾牌格挡","攻击牌","获得5点护甲手牌最左边的攻击牌变为这张牌的复制"
"骑士","恶魔手镜","装备牌","回合开始时将1张恶作剧洗入敌方牌组"
"骑士","二次打击","攻击牌","造成2点伤害抽2张牌"
"骑士","伐木斧","装备牌","回合开始时获得1张随机攻击牌*"
"骑士","飞斧","装备牌","每回合使用的第1张攻击牌效果翻倍"
"骑士","粉碎","攻击牌","造成15点伤害"
"骑士","风暴攻击","攻击牌","造成6点雷属性伤害本回合造成伤害+1"
"骑士","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"骑士","古怪符文","装备牌","敌方在他自己的回合受到的伤害+3"
"骑士","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
"骑士","尖刺壁垒","装备牌","回合结束时你每有4点护甲造成1点伤害"
"骑士","尖刺盾牌","攻击牌","造成5点伤害直到下个回合，自己受到伤害减少1点"
"骑士","剧毒匕首","装备牌","每使用2张攻击牌敌方获得1点中毒"
"骑士","绝对防御","行动牌","获得6点护甲，抽I张牌"
"骑士","绝妙收藏","行动牌","移除，获得6点护甲获得1张随机装备牌*"
"骑士","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"骑士","卡片速递","行动牌","移除抽牌直到达到存牌上限"
"骑士","苦守","行动牌","受到1点穿刺伤害获得10点护甲抽1张牌"
"骑士","苦战","行动牌","手牌中的所有攻击牌的复制*洗入牌组抽张牌"
"骑士","雷刃","装备牌","每使用1张攻击牌造成1点雷属性伤害"
"骑士","力量透支","攻击牌","抽2张牌下回合少抽I张牌"
"骑士","力量祝福","行动牌","直到回合结束前造成伤害+3"
"骑士","连击","攻击牌","这张牌视为你使用的上一张攻击牌"
"骑士","灵魂打击","攻击牌","造成5点伤害如果这张牌杀死敌方自己永久获得2点生命"
"骑士","龙鳞铠甲","装备牌","你受到的所有伤害-1"
"骑士","罗生门","行动牌","直到下回合每造成1点伤害获得1点护甲"
"骑士","马蹄铁","装备牌","回合开始时每有一件装备获得1点护甲"
"骑士","猛劈","攻击牌","造成5点伤害双方下回合少抽张牌"
"骑士","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"骑士","耐力补给","行动牌","移除行动力+3"
"骑士","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"骑士","怒火攻击","攻击牌","造成5点火属性伤害已损失生命每有5点伤害+1"
"骑士","拍卖券","行动牌","抽2张牌，自己场上每有1件装备消耗-1"
"骑士","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"骑士","破坏","行动牌","破坏敌方1张装备牌如果成功，则对敌方造成3点伤害"
"骑士","普通攻击","攻击牌","造成5点伤害"
"骑士","普通攻击","攻击牌","造成6点伤害"
"骑士","千刀万剐","攻击牌","造成1点伤害重复5次"
"骑士","拳击","攻击牌","移除，造成5点伤害获得1张普通攻击III"
"骑士","弱点侦查","行动牌","本回合的下次卡牌的伤害翻倍"
"骑士","商品订单","特殊牌","购买此牌时，刷新商品"
"骑士","舍命相搏","攻击牌","对敌方造成9点伤害对自己造成1点穿刺伤害"
"骑士","神圣攻击","攻击牌","造成4点伤害恢复等量生命"
"骑士","石化皮肤","行动牌","移除，获得4点护甲直到下回合受到伤害减少2点"
"骑士","死守","行动牌","丢弃所有手牌，每丢弃1张，获得6点护甲"
"骑士","贪婪","行动牌","抽5张牌丢弃所有非攻击牌"
"骑士","天使庇护","行动牌","获得10点护甲"
"骑士","天使手镜","装备牌","你的回合开始时从牌组中随机复制1张*(非装备)牌至手牌"
"骑士","突发奇想","行动牌","查看4张随机牌，选择1张将其3张复制*洗入牌组"
"骑士","突袭","行动牌","移除抽3张牌"
"骑士","退缩","反制牌","敌方使用伤害牌时:将其无效，抽张牌"
"骑士","无畏","攻击牌","抽3张牌下回合少抽3张牌"
"骑士","无中生有","行动牌","移除获得2张随机牌"
"骑士","吸血鬼剑","装备牌","每累计造成4点伤害获得1点生命值"
"骑士","娴熟魔术","行动牌","将2张恶作剧放入敌方牌组，敌方下个回合抽牌时随机丢弃1张"
"骑士","小丑戏法","攻击牌","将2张恶作剧洗入敌方的牌组"
"骑士","虚晃","行动牌","移除，选择手牌的1张攻击牌，将其4张复制*洗入牌组"
"骑士","蓄力一击","攻击牌","移除，造成3点伤害敌方失去所有行动力每失去1点伤害+3"
"骑士","旋风斧","行动牌","触发你携带的随机4张攻击牌的效果"
"骑士","迅捷攻击","攻击牌","造成5点伤害抽张牌"
"骑士","殉道护符","装备牌","你的回合开始时受到1点穿刺伤害抽张牌"
"骑士","殉道铠甲","装备牌","你的回合开始时受到1点穿刺伤害获得5点护甲"
"骑士","殉道之剑","装备牌","你对自己造成伤害时本回合下次造成伤害翻倍"
"骑士","应急干粮","攻击牌","移除，获得2点行动力失去所有行动力时从牌组获得这张牌"
"骑士","勇敢的心","行动牌","抽1张牌获得1张随机攻击牌*"
"骑士","勇气旗帜","装备牌","你的回合开始时敌方获得1张普通攻击自己抽张牌"
"骑士","圆盾","装备牌","回合开始时获得4点护甲"
"骑士","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"骑士","战斗号角","行动牌","移除，本回合每使用1张攻击牌，抽1张牌"
"骑士","支援","攻击牌","造成1点伤害，抽1张牌当你使用攻击牌时，从牌组获得这张牌"
"骑士","炙热斗篷","装备牌","敌方使用攻击牌时对敌方造成2点火属性伤害"
"骑士","致命武器","攻击牌","每装备了1件装备造成1次2点伤害"
"骑士","忠诚","行动牌","移除获得1点行动力受到1点穿刺伤害抽张牌"
"骑士","专注","行动牌","抽2张牌"
"骑士","撞击","行动牌","造成自己当前生命的30%的伤害"
"游侠","暗器","行动牌","丢弃牌组顶部5张牌抽1张牌"
"游侠","绊倒","行动牌","敌方每使用1张牌会随机丢弃1张牌，持续1回合"
"游侠","包罗万象","行动牌","移除，将5张随机牌洗入牌组，抽2张牌"
"游侠","包扎伤口","行动牌","丢弃所有手牌抽2张牌"
"游侠","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"游侠","倍击弹弓","装备牌","你最后的手牌造成的伤害加倍"
"游侠","残影","行动牌","抽1张牌，行动力+1下个回合额外抽1张牌，获得1行动力"
"游侠","仓促治疗","行动牌","恢复4点生命抽1张牌"
"游侠","侧踢","行动牌","造成4点伤害敌方下个回合抽牌-1"
"游侠","沉痛打击","行动牌","造成3点伤害失去手牌和行动力每失去1张手牌或1点行动力，伤害+3"
"游侠","筹谋","行动牌","抽张牌，本回合下次卡牌的伤害翻倍"
"游侠","出血","行动牌","敌方获得8点流血抽1张牌"
"游侠","伺机待发","行动牌","移除，将2张佯攻*加入手牌佯攻:抽张牌)"
"游侠","催眠术","行动牌","移除对方失去所有行动力每失去1点你抽1张牌"
"游侠","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"游侠","毒伤","行动牌","敌方获得4点中毒抽1张牌"
"游侠","毒液","行动牌","敌方获得5点中毒"
"游侠","躲闪","行动牌","抽1张牌25%几率闪避伤害持续1回合"
"游侠","飞踢","行动牌","造成1点伤害，抽1张牌如果是本回合使用的第一张牌，则伤害+9"
"游侠","疯狂","行动牌","直到下回合每丢弃1张手牌造成5点穿刺伤害"
"游侠","腐蚀药水","行动牌","敌方获得1点易伤抽张牌"
"游侠","感染","攻击牌","敌方获得4点中毒"
"游侠","割破钱袋","攻击牌","移除，获得2金币造成6点伤害"
"游侠","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"游侠","古怪符文","装备牌","敌方在他自己的回合受到的伤害+3"
"游侠","骨棒","装备牌","你将牌丢弃或移除时对敌方造成2点伤害"
"游侠","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
"游侠","回收","行动牌","丢弃所有手牌并重新抽相同数量的牌"
"游侠","回旋镖","行动牌","造成5点伤害将这张牌放回牌组顶部并且本回合回旋镖伤害+10"
"游侠","活力护符","装备牌","回合开始时行动力+2"
"游侠","激励","行动牌","造成1点伤害2次抽1张牌"
"游侠","极限闪避","行动牌","40%几率闪避伤害持续1回合敌方抽3张牌"
"游侠","急行","行动牌","闪避敌方下次伤害抽张牌"
"游侠","疾跑","行动牌","抽3张牌，行动力+3"
"游侠","加速","行动牌","抽张牌，行动力+2"
"游侠","箭袋","装备牌","回合开始时抽I张箭牌使其伤害+3"
"游侠","箭袋","装备牌","每造成3次物理伤害造成1点穿刺伤害"
"游侠","缴械","行动牌","获得敌方场上的1张装备牌"
"游侠","节约","行动牌","随机获得2张本回合弃掉的牌"
"游侠","禁言","行动牌","抽张牌无效敌方的下1张牌"
"游侠","精准打击","行动牌","造成5点伤害，自己每有1张手牌伤害+1"
"游侠","镜像","行动牌","移除获得最左边手牌的复制"
"游侠","锯齿箭","装备牌","你造成的伤害+1"
"游侠","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"游侠","卡片速递","行动牌","移除抽牌直到达到存牌上限"
"游侠","灵魂冲击","行动牌","丢弃1张手牌，对敌方造成11点伤害"
"游侠","灵魂羁绊","行动牌","获得护甲*5如果这张牌被选择丢弃造成5点伤害获得这张牌的复制*"
"游侠","灵巧飞刀","装备牌","闪避成功时，造成6点雷属性伤害"
"游侠","灵巧护符","装备牌","25%几率闪避伤害"
"游侠","流血箭","攻击牌","敌方获得16点流血"
"游侠","迷幻","行动牌","移除，抽张牌敌方失去所有的法力"
"游侠","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"游侠","密谋","行动牌","抽张牌并获得其复制*"
"游侠","敏捷","行动牌","抽I张牌，行动力+3"
"游侠","模仿","行动牌","复制本回合已使用的1张行动牌的效果"
"游侠","磨砺","行动牌","选择移除1-3张手牌每移除1张行动力+1并抽1张牌"
"游侠","耐力补给","行动牌","移除行动力+3"
"游侠","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"游侠","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"游侠","普通攻击","攻击牌","造成5点伤害"
"游侠","普通攻击","攻击牌","造成6点伤害"
"游侠","奇袭","行动牌","从敌方初始牌组中选择一张获得"
"游侠","窃取","行动牌","移除获得3金币"
"游侠","取舍","行动牌","抽2张牌然后丢弃1张手牌"
"游侠","弱点暴露","行动牌","敌方获得2点易伤"
"游侠","弱点侦查","行动牌","本回合的下次卡牌的伤害翻倍"
"游侠","商品订单","特殊牌","购买此牌时，刷新商品"
"游侠","上膛","行动牌","下一张攻击牌额外触发2次"
"游侠","熟能生巧","行动牌","移除，选择1张手牌本次战斗该牌的同名牌消耗为0"
"游侠","死守","行动牌","丢弃所有手牌，每丢弃1张，获得6点护甲"
"游侠","速度之靴","装备牌","你的回合开始时抽张牌，行动力+1"
"游侠","逃跑","行动牌","移除持续1回合免疫任何伤害"
"游侠","突发奇想","行动牌","查看4张随机牌，选择1张将其3张复制*洗入牌组"
